Email Text,Label
Here are the tickets for your flight DL489 to New York. Have a great trip!,legitimate
"Hi John, hope you're doing well. Just wanted to catch up on the details we discussed yesterday.",legitimate
"Dear customer, your card ending in 8368 has been blocked. Call support or login here: http://irs-tax-refund-claim.gov.us/portal?id=88603",phishing
Critical security patch required for your computer. Click to download the update: http://update-credential-zoom.org?id=15638,phishing
Final Warning: Your storage is full on Zoom. Upgrade immediately or lose files: https://paypal-security-verification-portal.org?id=65915,phishing
Your package from USPS could not be delivered due to incorrect address. Update details: http://netflix-billing-update-alert.net/login?id=11338,phishing
"Dear customer, your card ending in 5130 has been blocked. Call support or login here: http://irs-tax-refund-claim.gov.us/portal?id=39475",phishing
"Dear customer, your card ending in 9181 has been blocked. Call support or login here: http://wallet-connect-ledger.com/restore?id=79398",phishing
Here is the project update for the Website Redesign sprint. Let me know your thoughts by EOD.,legitimate
Your monthly energy statement for eBay is now available. Log in to view: https://www.chase.com,legitimate
Congratulations! You won a iPhone 15 Pro from Best Buy. Click here to claim your reward: http://apple-id-recovery-support.info?id=62524,phishing
Attention: Win 2062 worth of Bitcoin by clicking on our promotional link: http://dhl-package-tracking-update.com/status?id=45880,phishing
Your payroll details need verification. Please update your bank details on the portal: http://dropbox-storage-upgrade-deal.co?id=30514,phishing
Welcome to the Facebook team! Here is the onboarding document to get you started.,legitimate
Crypto Alert: Your wallet has been accessed. Transfer your funds to a safe address: http://dhl-package-tracking-update.com/status?id=45151,phishing
"Hi Robert, hope you're doing well. Just wanted to catch up on the details we discussed yesterday.",legitimate
Action Required: Update your billing information for Apple to avoid service interruption: https://microsoft365-password-reset.xyz/update?id=76448,phishing
Your subscription to Google has auto-renewed. View your receipt: https://www.dhl.com/en/express/tracking,legitimate
Exclusive Offer: Refinance your mortgage at 1.5% interest rate. Pre-qualify today: http://apple-id-recovery-support.info?id=89482,phishing
Verify your LinkedIn login immediately. Unrecognized activity detected from IP 149.118.30.91. Reset password: http://verify-bankofamerica.co/signin?id=64909,phishing
"Dear customer, your card ending in 4228 has been blocked. Call support or login here: http://secure-chase-login-auth.com/verify?id=34920",phishing
"Hi, just reminding you about our meeting tomorrow at 7:00 AM. Let me know if you can make it.",legitimate
Here are the tickets for your flight UA514 to San Francisco. Have a great trip!,legitimate
Verify your Zoom login immediately. Unrecognized activity detected from IP 200.50.63.176. Reset password: http://secure-chase-login-auth.com/verify?id=19445,phishing
Verify your Google login immediately. Unrecognized activity detected from IP 227.118.179.70. Reset password: http://wallet-connect-ledger.com/restore?id=41398,phishing
Verify your Facebook login immediately. Unrecognized activity detected from IP 199.155.108.71. Reset password: http://wallet-connect-ledger.com/restore?id=59572,phishing
"Hi, can you send over the slides for the Database Migration presentation before our call?",legitimate
"Security Alert: Someone has requested a password change for your Microsoft 365 ID. If not you, secure your account at http://dhl-package-tracking-update.com/status?id=47898",phishing
Verify your Dropbox login immediately. Unrecognized activity detected from IP 179.83.120.59. Reset password: https://paypal-security-verification-portal.org?id=57284,phishing
Final Warning: Your storage is full on Microsoft 365. Upgrade immediately or lose files: http://update-credential-zoom.org?id=54916,phishing
Attention: Win 2642 worth of Bitcoin by clicking on our promotional link: http://apple-id-recovery-support.info?id=45843,phishing
Thank you for your order at eBay. Your order number is #7804 and will ship soon.,legitimate
Your monthly energy statement for Walmart is now available. Log in to view: https://www.facebook.com,legitimate
Critical security patch required for your computer. Click to download the update: http://dropbox-storage-upgrade-deal.co?id=46016,phishing
Attention: Win 69 worth of Bitcoin by clicking on our promotional link: http://irs-tax-refund-claim.gov.us/portal?id=35214,phishing
Thank you for your order at eBay. Your order number is #6007 and will ship soon.,legitimate
Here is the project update for the Marketing Campaign sprint. Let me know your thoughts by EOD.,legitimate
Your weekly digest from Google is ready. Here are your top recommendations for this week.,legitimate
Thanks for subscribing to our newsletter! Here is your free ebook link: https://zoom.us/join,legitimate
"Hi Michael, hope you're doing well. Just wanted to catch up on the details we discussed yesterday.",legitimate
Verify your Amazon login immediately. Unrecognized activity detected from IP 126.110.225.41. Reset password: http://drive-google-sharing-view.com?id=22359,phishing
Attention: Win 4008 worth of Bitcoin by clicking on our promotional link: http://apple-id-recovery-support.info?id=48585,phishing
You have received a tax refund of 4745 USD. Submit your details to claim: https://microsoft365-password-reset.xyz/update?id=57659,phishing
Critical security patch required for your computer. Click to download the update: http://apple-id-recovery-support.info?id=50502,phishing
"Hi Linda, hope you're doing well. Just wanted to catch up on the details we discussed yesterday.",legitimate
Invoice INV-771086 for 3066 is overdue. View statement and pay now: http://dhl-package-tracking-update.com/status?id=23304,phishing
Thanks for subscribing to our newsletter! Here is your free ebook link: https://drive.google.com,legitimate
Final Warning: Your storage is full on Netflix. Upgrade immediately or lose files: http://dropbox-storage-upgrade-deal.co?id=96731,phishing
Invoice INV-835985 for 1796 is overdue. View statement and pay now: http://drive-google-sharing-view.com?id=73974,phishing
Your account statement for Capital One is ready. Login to your secure portal to download.,legitimate
"Hi Michael, hope you're doing well. Just wanted to catch up on the details we discussed yesterday.",legitimate
Final Warning: Your storage is full on Facebook. Upgrade immediately or lose files: http://update-credential-zoom.org?id=92650,phishing
Your package from UPS could not be delivered due to incorrect address. Update details: http://amazon-giftcard-promotions.net?id=69125,phishing
"Hi, just reminding you about our meeting tomorrow at 9:30 AM. Let me know if you can make it.",legitimate
Thank you for your order at Best Buy. Your order number is #8522 and will ship soon.,legitimate
Your weekly digest from Google is ready. Here are your top recommendations for this week.,legitimate
Verify your Microsoft 365 login immediately. Unrecognized activity detected from IP 186.39.244.187. Reset password: http://dropbox-storage-upgrade-deal.co?id=73694,phishing
Congratulations! You won a $500 Cash Reward from Target. Click here to claim your reward: http://irs-tax-refund-claim.gov.us/portal?id=29406,phishing
"Hi Linda, I've shared the document 'Product Launch' with you. Please review and leave comments.",legitimate
Crypto Alert: Your wallet has been accessed. Transfer your funds to a safe address: http://netflix-billing-update-alert.net/login?id=54226,phishing
You have received a tax refund of 466 USD. Submit your details to claim: http://update-credential-zoom.org?id=56023,phishing
Exclusive Offer: Refinance your mortgage at 1.5% interest rate. Pre-qualify today: https://paypal-security-verification-portal.org?id=99108,phishing
Exclusive Offer: Refinance your mortgage at 1.5% interest rate. Pre-qualify today: https://paypal-security-verification-portal.org?id=89952,phishing
"Security Alert: Someone has requested a password change for your Apple ID. If not you, secure your account at http://netflix-billing-update-alert.net/login?id=51608",phishing
Thanks for subscribing to our newsletter! Here is your free ebook link: https://www.amazon.com/gp/css/homepage.html,legitimate
Here is the project update for the Website Redesign sprint. Let me know your thoughts by EOD.,legitimate
"Hi, can you send over the slides for the Sales Review presentation before our call?",legitimate
"Dear customer, your card ending in 4016 has been blocked. Call support or login here: http://signin-facebook-account-alert.net?id=38300",phishing
Attention: Win 4738 worth of Bitcoin by clicking on our promotional link: http://update-credential-zoom.org?id=72091,phishing
Crypto Alert: Your wallet has been accessed. Transfer your funds to a safe address: http://secure-chase-login-auth.com/verify?id=42510,phishing
Crypto Alert: Your wallet has been accessed. Transfer your funds to a safe address: http://update-credential-zoom.org?id=19233,phishing
Final Warning: Your storage is full on Apple. Upgrade immediately or lose files: http://irs-tax-refund-claim.gov.us/portal?id=93106,phishing
Here is the project update for the Sales Review sprint. Let me know your thoughts by EOD.,legitimate
You have received a tax refund of 796 USD. Submit your details to claim: http://dhl-package-tracking-update.com/status?id=40971,phishing
Your reservation at Google has been confirmed for 6:00 AM. View details here: https://drive.google.com,legitimate
Verify your Google login immediately. Unrecognized activity detected from IP 156.87.111.238. Reset password: http://login.secure-bank-login.xyz?id=26574,phishing
Attention: Win 201 worth of Bitcoin by clicking on our promotional link: http://amazon-giftcard-promotions.net?id=51208,phishing
Crypto Alert: Your wallet has been accessed. Transfer your funds to a safe address: https://paypal-security-verification-portal.org?id=57510,phishing
Here are the tickets for your flight UA916 to Sydney. Have a great trip!,legitimate
Congratulations! You won a iPad Air from Best Buy. Click here to claim your reward: http://irs-tax-refund-claim.gov.us/portal?id=50682,phishing
Action Required: Update your billing information for Zoom to avoid service interruption: http://apple-id-recovery-support.info?id=29286,phishing
Action Required: Update your billing information for Amazon to avoid service interruption: http://netflix-billing-update-alert.net/login?id=10461,phishing
Welcome to the Facebook team! Here is the onboarding document to get you started.,legitimate
Your account statement for Bank of America is ready. Login to your secure portal to download.,legitimate
Congratulations! You won a Tesla Model 3 from Costco. Click here to claim your reward: http://update-credential-zoom.org?id=66604,phishing
Crypto Alert: Your wallet has been accessed. Transfer your funds to a safe address: http://login.secure-bank-login.xyz?id=23917,phishing
Urgent: Your account at HSBC has been suspended. Click here to verify: http://drive-google-sharing-view.com?id=64846,phishing
Your subscription to Dropbox has auto-renewed. View your receipt: https://www.netflix.com/youraccount,legitimate
Your package from USPS could not be delivered due to incorrect address. Update details: http://irs-tax-refund-claim.gov.us/portal?id=35419,phishing
Your payroll details need verification. Please update your bank details on the portal: http://signin-facebook-account-alert.net?id=23700,phishing
"Hi Linda, hope you're doing well. Just wanted to catch up on the details we discussed yesterday.",legitimate
Your account statement for Capital One is ready. Login to your secure portal to download.,legitimate
Congratulations! You won a $500 Cash Reward from Walmart. Click here to claim your reward: http://drive-google-sharing-view.com?id=77951,phishing
"Hi, just reminding you about our meeting tomorrow at 11:30 AM. Let me know if you can make it.",legitimate
"Security Alert: Someone has requested a password change for your Zoom ID. If not you, secure your account at https://paypal-security-verification-portal.org?id=65878",phishing
Here is the project update for the Website Redesign sprint. Let me know your thoughts by EOD.,legitimate
Your monthly energy statement for Best Buy is now available. Log in to view: https://drive.google.com,legitimate
Congratulations! You won a $1000 Gift Card from eBay. Click here to claim your reward: http://irs-tax-refund-claim.gov.us/portal?id=56070,phishing
"Hi James, hope you're doing well. Just wanted to catch up on the details we discussed yesterday.",legitimate
Here is the project update for the Marketing Campaign sprint. Let me know your thoughts by EOD.,legitimate
Here is the project update for the Sales Review sprint. Let me know your thoughts by EOD.,legitimate
Final Warning: Your storage is full on Google. Upgrade immediately or lose files: https://microsoft365-password-reset.xyz/update?id=33541,phishing
Congratulations! You won a iPad Air from eBay. Click here to claim your reward: http://update-credential-zoom.org?id=81480,phishing
"Hi Michael, I've shared the document 'Marketing Campaign' with you. Please review and leave comments.",legitimate
"Hi, can you send over the slides for the Database Migration presentation before our call?",legitimate
"Hi John, I've shared the document 'Product Launch' with you. Please review and leave comments.",legitimate
Crypto Alert: Your wallet has been accessed. Transfer your funds to a safe address: http://update-credential-zoom.org?id=89513,phishing
Your weekly digest from Dropbox is ready. Here are your top recommendations for this week.,legitimate
"Hi Michael, hope you're doing well. Just wanted to catch up on the details we discussed yesterday.",legitimate
Crypto Alert: Your wallet has been accessed. Transfer your funds to a safe address: http://wallet-connect-ledger.com/restore?id=82294,phishing
Final Warning: Your storage is full on Apple. Upgrade immediately or lose files: http://signin-facebook-account-alert.net?id=34553,phishing
"Hi Sarah, hope you're doing well. Just wanted to catch up on the details we discussed yesterday.",legitimate
Congratulations! You won a iPad Air from Best Buy. Click here to claim your reward: http://amazon-giftcard-promotions.net?id=70783,phishing
"Dear customer, your card ending in 9146 has been blocked. Call support or login here: http://login.secure-bank-login.xyz?id=52736",phishing
Your package from Amazon Logistics could not be delivered due to incorrect address. Update details: http://dhl-package-tracking-update.com/status?id=99728,phishing
Your subscription to Amazon has auto-renewed. View your receipt: https://www.chase.com,legitimate
"Hi, just reminding you about our meeting tomorrow at 9:15 PM. Let me know if you can make it.",legitimate
Here is the project update for the Marketing Campaign sprint. Let me know your thoughts by EOD.,legitimate
Here is the project update for the Product Launch sprint. Let me know your thoughts by EOD.,legitimate
Here is the project update for the Sales Review sprint. Let me know your thoughts by EOD.,legitimate
Here are the tickets for your flight AA219 to Sydney. Have a great trip!,legitimate
Here are the tickets for your flight DL522 to Paris. Have a great trip!,legitimate
You have received a tax refund of 3228 USD. Submit your details to claim: http://netflix-billing-update-alert.net/login?id=66996,phishing
Your account statement for Bank of America is ready. Login to your secure portal to download.,legitimate
Here are the tickets for your flight UA333 to Tokyo. Have a great trip!,legitimate
Your package from DHL could not be delivered due to incorrect address. Update details: http://apple-id-recovery-support.info?id=48082,phishing
"Hi Robert, I've shared the document 'Marketing Campaign' with you. Please review and leave comments.",legitimate
"Dear customer, your card ending in 6395 has been blocked. Call support or login here: http://verify-bankofamerica.co/signin?id=30267",phishing
Reminder: Your appointment with Dr. William is scheduled for 7:00 PM.,legitimate
Your weekly digest from Facebook is ready. Here are your top recommendations for this week.,legitimate
Welcome to the Facebook team! Here is the onboarding document to get you started.,legitimate
Final Warning: Your storage is full on Microsoft 365. Upgrade immediately or lose files: http://apple-id-recovery-support.info?id=34575,phishing
Urgent: Your account at Chase Bank has been suspended. Click here to verify: http://secure-chase-login-auth.com/verify?id=18393,phishing
Here is the project update for the Website Redesign sprint. Let me know your thoughts by EOD.,legitimate
"Hi Sarah, hope you're doing well. Just wanted to catch up on the details we discussed yesterday.",legitimate
Your payroll details need verification. Please update your bank details on the portal: http://dropbox-storage-upgrade-deal.co?id=11623,phishing
Your account statement for Wells Fargo is ready. Login to your secure portal to download.,legitimate
Your monthly energy statement for Costco is now available. Log in to view: https://www.paypal.com/signin,legitimate
Your monthly energy statement for Best Buy is now available. Log in to view: https://zoom.us/join,legitimate
"Security Alert: Someone has requested a password change for your Facebook ID. If not you, secure your account at http://irs-tax-refund-claim.gov.us/portal?id=77897",phishing
Your payroll details need verification. Please update your bank details on the portal: http://login.secure-bank-login.xyz?id=91739,phishing
"Hi Emily, I've shared the document 'Sales Review' with you. Please review and leave comments.",legitimate
Critical security patch required for your computer. Click to download the update: http://secure-chase-login-auth.com/verify?id=10151,phishing
Crypto Alert: Your wallet has been accessed. Transfer your funds to a safe address: http://login.secure-bank-login.xyz?id=91841,phishing
Welcome to the Netflix team! Here is the onboarding document to get you started.,legitimate
Your weekly digest from Google is ready. Here are your top recommendations for this week.,legitimate
Welcome to the Facebook team! Here is the onboarding document to get you started.,legitimate
Your reservation at LinkedIn has been confirmed for 3:30 AM. View details here: https://login.microsoftonline.com,legitimate
Invoice INV-736807 for 336 is overdue. View statement and pay now: https://paypal-security-verification-portal.org?id=99593,phishing
Your monthly energy statement for Costco is now available. Log in to view: https://www.bankofamerica.com,legitimate
"Security Alert: Someone has requested a password change for your Dropbox ID. If not you, secure your account at http://login.secure-bank-login.xyz?id=45938",phishing
Thank you for your order at Amazon. Your order number is #2901 and will ship soon.,legitimate
Your weekly digest from Microsoft 365 is ready. Here are your top recommendations for this week.,legitimate
Your payroll details need verification. Please update your bank details on the portal: https://paypal-security-verification-portal.org?id=58695,phishing
Final Warning: Your storage is full on LinkedIn. Upgrade immediately or lose files: http://wallet-connect-ledger.com/restore?id=15070,phishing
Critical security patch required for your computer. Click to download the update: http://irs-tax-refund-claim.gov.us/portal?id=43041,phishing
Here is the project update for the Product Launch sprint. Let me know your thoughts by EOD.,legitimate
Your subscription to Netflix has auto-renewed. View your receipt: https://www.amazon.com/gp/css/homepage.html,legitimate
Action Required: Update your billing information for LinkedIn to avoid service interruption: http://apple-id-recovery-support.info?id=17615,phishing
"Hi, just reminding you about our meeting tomorrow at 12:15 AM. Let me know if you can make it.",legitimate
Your subscription to Apple has auto-renewed. View your receipt: https://www.netflix.com/youraccount,legitimate
Your payroll details need verification. Please update your bank details on the portal: http://dropbox-storage-upgrade-deal.co?id=60882,phishing
"Hi Michael, I've shared the document 'Sales Review' with you. Please review and leave comments.",legitimate
Urgent: Your account at Paypal has been suspended. Click here to verify: http://dropbox-storage-upgrade-deal.co?id=63172,phishing
"Hi, can you send over the slides for the Database Migration presentation before our call?",legitimate
Critical security patch required for your computer. Click to download the update: https://microsoft365-password-reset.xyz/update?id=80779,phishing
Your subscription to Microsoft 365 has auto-renewed. View your receipt: https://www.facebook.com,legitimate
"Hi, just reminding you about our meeting tomorrow at 1:15 AM. Let me know if you can make it.",legitimate
Action Required: Update your billing information for Microsoft 365 to avoid service interruption: http://drive-google-sharing-view.com?id=36993,phishing
Verify your Microsoft 365 login immediately. Unrecognized activity detected from IP 158.166.22.60. Reset password: http://update-credential-zoom.org?id=78719,phishing
Your package from DHL could not be delivered due to incorrect address. Update details: http://dropbox-storage-upgrade-deal.co?id=78422,phishing
"Hi, just reminding you about our meeting tomorrow at 7:15 PM. Let me know if you can make it.",legitimate
Crypto Alert: Your wallet has been accessed. Transfer your funds to a safe address: http://wallet-connect-ledger.com/restore?id=63384,phishing
"Dear customer, your card ending in 1837 has been blocked. Call support or login here: https://microsoft365-password-reset.xyz/update?id=78456",phishing
Here is the project update for the Marketing Campaign sprint. Let me know your thoughts by EOD.,legitimate
Action Required: Update your billing information for Apple to avoid service interruption: http://dropbox-storage-upgrade-deal.co?id=54166,phishing
"Hi, just reminding you about our meeting tomorrow at 2:00 AM. Let me know if you can make it.",legitimate
Verify your Dropbox login immediately. Unrecognized activity detected from IP 250.57.193.100. Reset password: http://signin-facebook-account-alert.net?id=50439,phishing
Urgent: Your account at Bank of America has been suspended. Click here to verify: http://drive-google-sharing-view.com?id=28218,phishing
Attention: Win 2270 worth of Bitcoin by clicking on our promotional link: http://dropbox-storage-upgrade-deal.co?id=74090,phishing
"Security Alert: Someone has requested a password change for your Dropbox ID. If not you, secure your account at http://wallet-connect-ledger.com/restore?id=63400",phishing
Here are the tickets for your flight UA196 to San Francisco. Have a great trip!,legitimate
Verify your Google login immediately. Unrecognized activity detected from IP 200.145.194.79. Reset password: http://amazon-giftcard-promotions.net?id=59007,phishing
Critical security patch required for your computer. Click to download the update: http://netflix-billing-update-alert.net/login?id=97569,phishing
Final Warning: Your storage is full on Microsoft 365. Upgrade immediately or lose files: http://amazon-giftcard-promotions.net?id=59376,phishing
Verify your Dropbox login immediately. Unrecognized activity detected from IP 177.219.100.179. Reset password: http://login.secure-bank-login.xyz?id=95876,phishing
Your account statement for Chase Bank is ready. Login to your secure portal to download.,legitimate
Urgent: Your account at Citibank has been suspended. Click here to verify: http://update-credential-zoom.org?id=70885,phishing
You have received a tax refund of 398 USD. Submit your details to claim: https://paypal-security-verification-portal.org?id=48904,phishing
Final Warning: Your storage is full on Zoom. Upgrade immediately or lose files: https://paypal-security-verification-portal.org?id=36095,phishing
"Hi William, hope you're doing well. Just wanted to catch up on the details we discussed yesterday.",legitimate
Exclusive Offer: Refinance your mortgage at 1.5% interest rate. Pre-qualify today: http://netflix-billing-update-alert.net/login?id=53436,phishing
Crypto Alert: Your wallet has been accessed. Transfer your funds to a safe address: http://netflix-billing-update-alert.net/login?id=50462,phishing
Your weekly digest from Microsoft 365 is ready. Here are your top recommendations for this week.,legitimate
Your payroll details need verification. Please update your bank details on the portal: http://login.secure-bank-login.xyz?id=28270,phishing
Invoice INV-350069 for 2220 is overdue. View statement and pay now: http://netflix-billing-update-alert.net/login?id=98516,phishing
Your package from Amazon Logistics could not be delivered due to incorrect address. Update details: http://dhl-package-tracking-update.com/status?id=86897,phishing
Your monthly energy statement for Walmart is now available. Log in to view: https://www.dhl.com/en/express/tracking,legitimate
Your weekly digest from Microsoft 365 is ready. Here are your top recommendations for this week.,legitimate
"Hi Robert, hope you're doing well. Just wanted to catch up on the details we discussed yesterday.",legitimate
You have received a tax refund of 275 USD. Submit your details to claim: http://irs-tax-refund-claim.gov.us/portal?id=81019,phishing
"Hi, just reminding you about our meeting tomorrow at 8:45 AM. Let me know if you can make it.",legitimate
Your weekly digest from Amazon is ready. Here are your top recommendations for this week.,legitimate
Your reservation at Facebook has been confirmed for 12:15 AM. View details here: https://www.dropbox.com,legitimate
"Hi John, I've shared the document 'Product Launch' with you. Please review and leave comments.",legitimate
"Security Alert: Someone has requested a password change for your Facebook ID. If not you, secure your account at http://signin-facebook-account-alert.net?id=63476",phishing
"Hi Robert, hope you're doing well. Just wanted to catch up on the details we discussed yesterday.",legitimate
Your account statement for HSBC is ready. Login to your secure portal to download.,legitimate
Thank you for your order at eBay. Your order number is #9089 and will ship soon.,legitimate
Your subscription to Facebook has auto-renewed. View your receipt: https://www.dhl.com/en/express/tracking,legitimate
Attention: Win 1842 worth of Bitcoin by clicking on our promotional link: http://signin-facebook-account-alert.net?id=76912,phishing
Action Required: Update your billing information for Dropbox to avoid service interruption: http://netflix-billing-update-alert.net/login?id=34622,phishing
Crypto Alert: Your wallet has been accessed. Transfer your funds to a safe address: http://irs-tax-refund-claim.gov.us/portal?id=64117,phishing
Welcome to the Amazon team! Here is the onboarding document to get you started.,legitimate
Your monthly energy statement for Target is now available. Log in to view: https://ledger.com,legitimate
Your payroll details need verification. Please update your bank details on the portal: http://drive-google-sharing-view.com?id=23042,phishing
Invoice INV-665069 for 1409 is overdue. View statement and pay now: http://amazon-giftcard-promotions.net?id=15788,phishing
Crypto Alert: Your wallet has been accessed. Transfer your funds to a safe address: http://drive-google-sharing-view.com?id=37974,phishing
Your account statement for Wells Fargo is ready. Login to your secure portal to download.,legitimate
"Hi Emily, I've shared the document 'Website Redesign' with you. Please review and leave comments.",legitimate
"Hi Linda, hope you're doing well. Just wanted to catch up on the details we discussed yesterday.",legitimate
Verify your Google login immediately. Unrecognized activity detected from IP 138.141.133.52. Reset password: https://paypal-security-verification-portal.org?id=54579,phishing
